UserId;TransactionId;Year;Month;Day;Time;ItemCode;ItemDescription;NumberOfItemsPurchased;CostPerItem;SellingPricePerItem;Country;ClientKeywords
278166;6355745;2019;Feb;2;12:50:00;465549;FAMILY ALBUM WHITE PICTURE FRAME;6;11.73;21.11;United Kingdom;['Senior', 'Solo Entrepreneur', '2-5 Year Client']
337701;6283376;2018;Dec;26;09:06:00;482370;LONDON BUS COFFEE MUG;3;3.52;3.87;United Kingdom;['Middle Age', 'Corporation', '2-5 Year Client']
267099;6385599;2019;Feb;15;09:45:00;490728;SET 12 COLOUR PENCILS DOLLY GIRL ;72;0.9;1.62;France;['Middle Age', 'Corporation', '2-5 Year Client']
380478;6044973;2018;Jun;22;07:14:00;459186;UNION JACK FLAG LUGGAGE TAG;3;1.73;1.9;United Kingdom;['Middle Age', 'Small Business', 'New Client']
-1;6143225;2018;Sep;10;11:58:00;1733592;WASHROOM METAL SIGN;3;3.4;5.78;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
285957;6307136;2019;Jan;11;09:50:00;1787247;CUT GLASS T-LIGHT HOLDER OCTAGON;12;3.52;4.22;United Kingdom;['Adult', 'Corporation', '2-5 Year Client']
345954;6162981;2018;Sep;28;10:51:00;471576;NATURAL SLATE CHALKBOARD LARGE ;9;6.84;11.63;United Kingdom;['Middle Age', 'Solo Entrepreneur', 'New Client']
-1;6143225;2018;Sep;10;11:58:00;447867;SKULLS WRITING SET ;120;1.15;1.38;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
339822;6255403;2018;Dec;10;09:23:00;1783845;MULTI COLOUR SILVER T-LIGHT HOLDER;36;1.18;1.65;United Kingdom;['Young Adult', 'Solo Entrepreneur', 'Loyal Client']
328440;6387425;2019;Feb;16;10:35:00;494802;SET OF 6 RIBBONS PERFECTLY PRETTY  ;36;3.99;5.59;United Kingdom;['Adult', 'Small Business', 'New Client']
316848;6262696;2018;Dec;15;10:05:00;460215;RED  HARMONICA IN BOX ;36;1.73;3.11;United Kingdom;['Middle Age', 'Solo Entrepreneur', 'New Client']
372897;6199061;2018;Oct;29;09:04:00;459669;WOODEN BOX OF DOMINOES;3;1.73;2.6;United Kingdom;['Young Adult', 'Corporation', 'Loyal Client']
364791;6358242;2019;Feb;3;09:25:00;486276;SET OF 5 MINI GROCERY MAGNETS;3;2.88;3.74;United Kingdom;['Young Adult', 'Small Business', 'Loyal Client']
-1;6058140;2018;Jul;2;07:33:00;435225;LUNCH BAG RED RETROSPOT;60;6.85;11.65;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
321321;6254358;2018;Dec;10;05:43:00;455868;FOLDING UMBRELLA CREAM POLKADOT;12;6.84;8.89;United Kingdom;['Senior', 'Solo Entrepreneur', 'New Client']
304353;6328674;2019;Jan;21;09:54:00;477246;ALARM CLOCK BAKELIKE GREEN;24;5.18;6.73;United Kingdom;['Adult', 'Small Business', 'Loyal Client']
369852;6075883;2018;Jul;21;08:14:00;477036;CARD CIRCUS PARADE;36;0.58;0.75;United Kingdom;['Adult', 'Small Business', '2-5 Year Client']
-1;6288843;2018;Dec;30;12:58:00;489594;VINTAGE CHRISTMAS TABLECLOTH;3;34.45;37.9;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
278985;6064025;2018;Jul;9;09:03:00;1771938;SET OF 3 HEART COOKIE CUTTERS;36;1.73;2.42;United Kingdom;['Adult', 'Small Business', '2-5 Year Client']
331884;6223569;2018;Nov;18;11:14:00;461622;PACK OF 12 SUKI TISSUES ;72;0.54;0.92;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
335580;6031883;2018;Jun;11;11:05:00;476028;PINK BABY BUNTING;150;3.52;6.34;United Kingdom;['Adult', 'Solo Entrepreneur', '2-5 Year Client']
364308;6257163;2018;Dec;11;07:39:00;434028;DISCO BALL CHRISTMAS DECORATION;72;0.17;0.26;United Kingdom;['Adult', 'Small Business', '2-5 Year Client']
262269;5945093;2018;Mar;21;09:13:00;474726;WOODEN SKITTLES GARDEN SET;6;22.02;39.64;France;['Middle Age', 'Corporation', 'Loyal Client']
-1;6388019;2019;Feb;16;13:24:00;490329;ROLL WRAP VINTAGE CHRISTMAS;30;3.4;4.42;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
-1;6212987;2018;Nov;11;08:02:00;443436;OWL DOORSTOP;3;11.45;19.47;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
296016;6309336;2019;Jan;12;10:09:00;464751;FOOD CONTAINER SET 3 LOVE HEART ;3;5.7;6.27;United Kingdom;['Adult', 'Solo Entrepreneur', 'New Client']
373170;6101095;2018;Aug;6;08:34:00;452844;PINK  HEART SHAPE LOVE BUCKET ;15;4.08;5.3;United Kingdom;['Senior', 'Corporation', 'Loyal Client']
281568;6344448;2019;Jan;28;09:13:00;485667;FELTCRAFT GIRL NICOLE KIT;36;6.84;8.21;United Kingdom;['Young Adult', 'Solo Entrepreneur', 'Loyal Client']
-1;6217541;2018;Nov;14;05:26:00;469392;LUNCH BOX WITH CUTLERY RETROSPOT ;3;6.85;12.33;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
364266;6370276;2019;Feb;9;07:54:00;453348;RETROSPOT GIANT TUBE MATCHES;6;3.52;5.98;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
-1;6212294;2018;Nov;11;06:29:00;482559;PANTRY WASHING UP BRUSH;6;4.55;5.46;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
344253;6167568;2018;Oct;1;07:54:00;460656;RED RETROSPOT PICNIC BAG;6;4.08;7.34;United Kingdom;['Middle Age', 'Solo Entrepreneur', 'New Client']
322371;6244425;2018;Dec;3;11:54:00;488019;SET OF 4 KNICK KNACK TINS POPPIES;18;5.73;10.31;United Kingdom;['Adult', 'Corporation', 'New Client']
366051;5968743;2018;Apr;13;10:36:00;441735;SET/2 RED RETROSPOT TEA TOWELS ;9;4.08;6.94;United Kingdom;['Senior', 'Corporation', 'New Client']
291753;5984385;2018;Apr;29;07:30:00;472647;MEMO BOARD RETROSPOT  DESIGN;12;6.84;10.26;United Kingdom;['Senior', 'Small Business', '2-5 Year Client']
355383;6335252;2019;Jan;25;06:35:00;435204;RED RETROSPOT CHARLOTTE BAG;30;1.18;2.12;United Kingdom;['Middle Age', 'Small Business', '2-5 Year Client']
-1;5934412;2018;Mar;3;06:14:00;436380;BLACK EAR MUFF HEADPHONES;3;15.21;21.29;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
-1;5952144;2018;Mar;27;10:29:00;434973;JUMBO BAG OWLS;12;5.7;9.69;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
364098;6090810;2018;Jul;30;11:35:00;475839;LUNCH BOX I LOVE LONDON;9;2.7;3.78;United Kingdom;['Senior', 'Corporation', 'Loyal Client']
380478;5976399;2018;Apr;21;08:05:00;1784370;HANGING HEART ZINC T-LIGHT HOLDER;6;1.18;1.53;United Kingdom;['Middle Age', 'Small Business', 'New Client']
341355;5940143;2018;Mar;18;07:30:00;476007;RECIPE BOX RETROSPOT ;15;4.08;7.34;United Kingdom;['Young Adult', 'Corporation', 'New Client']
344946;6383036;2019;Feb;13;08:59:00;469875;AIRLINE BAG VINTAGE JET SET BROWN;3;5.87;8.81;United Kingdom;['Adult', 'Small Business', 'New Client']
271341;5995253;2018;May;9;10:25:00;445452;PACK OF 72 RETROSPOT CAKE CASES;72;0.76;1.29;United Kingdom;['Adult', 'Small Business', '2-5 Year Client']
-1;5925458;2018;Feb;24;12:46:00;440370;PINK FLORAL FELTCRAFT SHOULDER BAG;3;5.18;6.22;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
259854;6339795;2019;Jan;26;11:37:00;1784832;72 SWEETHEART FAIRY CAKE CASES;72;0.76;0.91;Austria;['Senior', 'Corporation', 'New Client']
-1;6079370;2018;Jul;22;11:06:00;456351;RED TOADSTOOL LED NIGHT LIGHT;3;5.7;9.69;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
